     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            1         3835           30          100   383739.484   383739.484   383752.510   383852.325   384217.096   384739.005   384893.727   386824.717   387778.038   387778.038   387778.038
          20      1000000            1         5517           30          100   383292.972   383292.972   383348.722   383374.466   383420.511   383508.417   383558.658   383696.305   383696.314   383696.314   383696.314
          20      1000000            1         7936           30          100   383598.270   383598.270   383686.062   383705.574   383725.551   383899.255   383983.645   384212.649   384603.045   384603.045   384603.045
          20      1000000            1        11416           30          100   387286.320   387286.320   387290.967   387348.975   387396.998   387549.101   390778.759   391363.556   391749.529   391749.529   391749.529
          20      1000000            1        16422           30          100   406278.717   406278.717   406347.964   406423.711   406493.964   406557.506   406639.365   406710.591   406778.878   406778.878   406778.878
          20      1000000            1        23623           30          100   422689.253   422689.253   422716.646   422748.355   422904.130   423140.573   423526.283   423662.379   424019.667   424019.667   424019.667
          20      1000000            1        33981           30          100   443708.545   443708.545   443721.081   443760.377   443896.314   444101.490   444241.078   444454.644   444871.684   444871.684   444871.684
          20      1000000            1        48880           30          100   456176.951   456176.951   456293.683   456673.534   457253.449   457461.380   457729.040   458647.939   458846.535   458846.535   458846.535
          20      1000000            1        70312           30          100   453759.815   453759.815   456415.231   456753.956   456871.662   457426.071   457626.335   457751.934   458974.192   458974.192   458974.192
          20      1000000            2          100           30          100   529330.946   529330.946   529599.762   529611.611   529645.508   529886.144   529966.330   532145.825   533616.668   533616.668   533616.668
          20      1000000            2          144           30          100   452103.189   452103.189   452150.136   452229.197   452419.956   452514.513   452719.389   453054.400   454191.667   454191.667   454191.667
          20      1000000            2          208           30          100   388608.813   388608.813   388612.306   388813.074   388871.450   389196.420   389517.637   390672.905   393738.032   393738.032   393738.032
          20      1000000            2          300           30          100   376966.889   376966.889   377047.223   377111.380   377213.739   377346.758   377496.167   377614.141   377753.342   377753.342   377753.342
          20      1000000            2          432           30          100   379094.914   379094.914   379170.309   379252.847   379342.042   379441.127   379649.567   381781.604   382053.243   382053.243   382053.243
          20      1000000            2          622           30          100   377570.858   377570.858   378939.315   379515.882   380007.759   381233.381   382086.674   382687.017   383263.179   383263.179   383263.179
          20      1000000            2          895           30          100   382862.980   382862.980   383490.333   383602.074   384014.552   384399.660   384908.475   385697.400   386131.189   386131.189   386131.189
          20      1000000            2         1288           30          100   370872.721   370872.721   370897.688   371030.083   371180.706   371231.178   371413.640   371685.134   372291.779   372291.779   372291.779
          20      1000000            2         1853           30          100   378995.406   378995.406   379177.532   379179.972   379254.429   379425.933   379479.371   379544.434   379712.242   379712.242   379712.242
          20      1000000            2         2666           30          100   370599.445   370599.445   371806.826   372082.835   372806.863   373537.615   374880.892   376013.867   376047.142   376047.142   376047.142
          20      1000000            2         3835           30          100   375399.845   375399.845   375438.422   375498.365   375616.468   375696.075   375801.017   375901.025   375989.730   375989.730   375989.730
          20      1000000            2         5517           30          100   378183.297   378183.297   378570.177   378587.938   378852.007   379443.469   380229.417   380939.618   386075.673   386075.673   386075.673
          20      1000000            2         7936           30          100   370358.934   370358.934   370483.346   370491.113   370720.616   370842.724   371025.288   371480.841   372126.348   372126.348   372126.348
          20      1000000            2        11416           30          100   382170.146   382170.146   382294.880   382443.088   382929.117   383235.633   383820.330   384601.853   385149.703   385149.703   385149.703
          20      1000000            2        16422           30          100   411519.811   411519.811   411871.333   412015.519   412234.367   412408.455   412653.184   412813.441   412992.647   412992.647   412992.647
          20      1000000            2        23623           30          100   470889.566   470889.566   471105.848   471132.084   471337.793   471417.315   471834.334   472382.373   472468.776   472468.776   472468.776
          20      1000000            2        33981           30          100   485869.536   485869.536   486682.775   487022.530   487316.404   487744.921   487940.587   488102.054   488291.241   488291.241   488291.241
          20      1000000            2        48880           30          100   474275.436   474275.436   475762.977   475959.134   476752.333   476838.829   477155.827   477796.064   477802.338   477802.338   477802.338
          20      1000000            2        70312           30          100   476701.924   476701.924   476741.860   477201.312   477996.971   478844.718   479582.623   480461.706   481144.039   481144.039   481144.039
          20      1000000            4          100           30          100   542530.443   542530.443   543039.553   543060.893   543453.871   544109.120   545532.460   546632.869   550141.586   550141.586   550141.586
          20      1000000            4          144           30          100   449861.574   449861.574   449900.694   450045.277   450339.747   450825.826   451056.410   451251.996   451394.526   451394.526   451394.526
          20      1000000            4          208           30          100   402088.916   402088.916   402214.131   404590.624   405597.543   406661.163   407889.902   410080.471   411709.381   411709.381   411709.381
          20      1000000            4          300           30          100   393025.198   393025.198   393071.394   393208.590   393492.151   394070.370   394538.895   394916.545   395903.015   395903.015   395903.015
          20      1000000            4          432           30          100   401713.622   401713.622   401856.172   401860.584   402262.639   402781.678   403228.692   403643.875   403672.956   403672.956   403672.956
          20      1000000            4          622           30          100   404911.750   404911.750   405218.334   405271.386   406590.823   407760.537   409377.704   410824.498   410918.349   410918.349   410918.349
          20      1000000            4          895           30          100   390034.659   390034.659   390036.838   390041.911   390620.412   391157.905   391650.230   392645.252   392740.427   392740.427   392740.427
          20      1000000            4         1288           30          100   396153.833   396153.833   396439.674   396522.824   396846.854   396974.460   397522.825   397811.455   414320.176   414320.176   414320.176
          20      1000000            4         1853           30          100   384815.012   384815.012   384963.899   385074.413   385290.410   385489.033   385902.439   386902.721   390811.451   390811.451   390811.451
          20      1000000            4         2666           30          100   395081.880   395081.880   396020.971   397090.668   399226.285   400803.456   402199.192   403789.134   404123.564   404123.564   404123.564
          20      1000000            4         3835           30          100   381020.617   381020.617   381117.393   381255.845   381289.902   381500.109   381822.619   382722.144   395792.576   395792.576   395792.576
          20      1000000            4         5517           30          100   393113.127   393113.127   393378.047   393452.041   393797.002   394649.836   395019.973   395880.111   395905.438   395905.438   395905.438
          20      1000000            4         7936           30          100   396562.177   396562.177   396574.253   396776.568   396951.025   397055.462   397375.594   397923.395   398316.288   398316.288   398316.288
          20      1000000            4        11416           30          100   410450.787   410450.787   410493.410   410568.493   411063.333   411554.194   412020.705   412386.768   413271.744   413271.744   413271.744
          20      1000000            4        16422           30          100   444252.369   444252.369   444357.265   444498.058   445063.334   445309.098   445767.070   447571.752   448677.288   448677.288   448677.288
          20      1000000            4        23623           30          100   471403.132   471403.132   471647.735   471922.310   472472.650   473245.186   473506.267   474318.409   474800.097   474800.097   474800.097
          20      1000000            4        33981           30          100   488287.179   488287.179   488390.836   488621.265   488838.469   489534.697   490148.264   490796.090   490869.271   490869.271   490869.271
          20      1000000            4        48880           30          100   503651.012   503651.012   504108.010   504132.245   504556.170   505089.648   505666.145   505989.846   506283.946   506283.946   506283.946
          20      1000000            4        70312           30          100   504364.434   504364.434   506623.379   506761.635   507271.356   507946.575   508989.570   509744.324   509988.380   509988.380   509988.380
          20      1000000            8          100           30          100   519944.838   519944.838   520145.314   520173.799   520471.131   520842.851   521165.190   521531.196   521778.103   521778.103   521778.103
          20      1000000            8          144           30          100   491936.866   491936.866   492093.199   492226.364   492292.982   492365.138   492922.804   492991.247   493174.454   493174.454   493174.454
          20      1000000            8          208           30          100   462414.491   462414.491   462447.537   462916.367   463359.653   464757.295   465762.123   467243.421   472188.444   472188.444   472188.444
          20      1000000            8          300           30          100   425032.679   425032.679   426224.436   426309.249   426487.884   427535.850   428594.263   431155.660   431349.435   431349.435   431349.435
          20      1000000            8          432           30          100   413369.624   413369.624   414438.491   414812.923   415013.456   416462.600   420308.502   423791.076   430367.508   430367.508   430367.508
          20      1000000            8          622           30          100   418093.162   418093.162   419567.250   420626.224   422163.551   424386.286   434641.193   435448.363   435654.102   435654.102   435654.102
